Ізр,10,20,30,40,50
Uр+,0.511,1.053,1.594,2.257,2.981
Uр-,-0.511,-1.053,-1.594,-2.273,-2.978
Ізр=10мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,5.5,09.04,12.67,15.64,19.29
Uх-,-0.2,-3.48,-6.74,-9.63,-12.85
Ізр=20мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,12.24,18.52,25.4,31.84,38.12
Uх-,-0.42,-3.48,-6.74,-9.63,-12.85
Ізр=30мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,16.93,27.27,37.3,46.95,57.11
Uх-,-1.52,-10.21,-19.96,-28.21,-38.29
Ізр=40мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,23.6,36.34,50.41,63.48,76.59
Uх-,-1.3,-13,-25.32,-38.45,-49.25
Ізр=50мА,,,,,
Вмаг,0.04,0.08,0.12,0.16,0.2
Імаг,400,800,1200,1600,2000
Uх+,33.31,49.06,65.1,81.37,97.8
Uх-,-3.74,-13.63,-30.08,-44.72,-61.04
