Uz(V),-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-6.5,-6,-5.8,-5.6,-5.4,-5.2,-5,-4.8,-4.6,-4.4,-4.2,-4,-3.8,-3.6,-3.4,-3.2,-3,-2.8,-2.6,-2.4,-2.2,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
Ip=0.1(mA),-8.6,-8.3,-8,-7.7,-7.4,-7.2,-7,-6.7,-6.5,-6.1,-5.7,-5.1,-4.2,-2.7,-1.6,-1,-0.7,0.3,0.6,0.9,1.2,1.9,2.5,3.8,5.5,6.9,10.6,14.8,19.5,23.6,28.9,32.7,36.5,45.6,60.3,75.5,82.4,98.5,109.5,136.6,156.2,177.7,198,211,226,244,264,283,296,314,339,362,380,392,409,429,447,456
Ip=0.15(mA),-11.2,-10.9,-10.7,-10.5,-10,-9.7,-9.1,-8.8,-8.3,-7.7,-7.1,-6.7,-4.8,-3.5,-2.8,-1.2,-0.6,1.1,1.8,2.7,3.6,4.5,5.3,8.6,11.8,14.9,19.5,24.8,31.8,39.1,47.8,54.7,66.5,72.3,85.7,102,121,148,164,186,206,222,238,257,262,283,305,323,345,362,384,397,410,425,435,464,493,526
Ip=0.2(mA),-14.4,-13.8,-13.6,-13.4,-12.7,-12.4,-11.4,-10.9,-10.2,-9.4,-8.4,-7.4,-5.4,-4.4,-3.6,-1.5,-0.5,1.7,2.6,4.3,6.6,8.5,10.6,15.5,19.6,26.4,31.3,36.6,42.7,53.6,68.8,85.4,96.6,115,132,165,206,231,263,294,358,386,427,458,482,501,539,563.6,584,612,636,653,675,688,702,743,764,785
Ip=0.25(mA),-17.3,-16.8,-16.2,-15.5,-14.9,-14.2,-13.5,-12.8,-12,-11.2,-10.5,-9.4,-8.4,-7.4,-5.5,-3.2,-0.4,2.1,3.3,5.5,7.8,9.5,11.3,18,20.6,25.7,31.8,38.5,43.7,54.4,84.2,93.5,108.4,136,155,178,227,288,302,335,399,442,504,542,590,643,673,711,743,777,815,839,863,882,902,941,963,988
Ip=0.3(mA),-19.1,-18.5,-17.8,-17.1,-16.4,-15.5,-15,-14.2,-13.4,-12.5,-11.7,-10.9,-9.7,-8.3,-6.1,-4.1,-0.3,2.7,3.8,6.4,8.2,11.5,15.2,21.6,24.5,33.8,40.3,47.7,53.3,74.1,100.5,121.2,141.5,184,214,262,288,310,385,427,473,513,600,648,694,734,773,840,884,929,956,986,1031,1053,1074,1116,1142,1227
Ip=0.35(mA),-22.5,-21.7,-20.6,-19.7,-18.9,-18.1,-17.4,-16.8,-15.6,-14.8,-13.6,-12.4,-11.2,-9.5,-7.2,-4.3,-0.2,3.1,5.9,8.5,9.5,17.2,22.6,27.3,33.8,42.3,51.4,67.1,74.5,101.7,131.3,168.7,197,249,266,303,343,396,442,492,536,641,725,826,906,966,1022,1095,1148,1216,1297,1326,1354,1393,1437,1496,1537,1611
Ip=0.4(mA),-23.9,-23.1,-22.4,-21.5,-20.7,-19.9,-19,-18.1,-17,-16,-15,-13.9,-12.6,-10.9,-8.5,-5.2,-0.1,3.4,7.7,10.9,17.9,25.8,31.6,36.7,43.5,52.6,68.3,85.1,102.8,124.6,156.4,195.6,251,283,307,360,418,485,521,623,753,833,931,1022,1084,1162,1215,1295,1346,1405,1463,1502,1560,1604,1656,1737,1813,1945
