Uz(V),-37,-35,-33,-31,-29,-27,-25,-23,-21,-19,-17,-15,-13,-11,-9,-7,-6.5,-6,-5.8,-5.6,-5.4,-5.2,-5,-4.8,-4.6,-4.4,-4.2,-4,-3.8,-3.6,-3.4,-3.2,-3,-2.8,-2.6,-2.4,-2.2,-2,-1.8,-1.6,-1.4,-1.2,-1,-0.8,-0.6,-0.4,-0.2,0,0.2,0.4,0.6,0.8,1,1.2,1.4,1.6,1.8,2
Ip=0.1(mA),-11.8,-10,-9.2,-8.5,-7.4,-6.6,-5.3,-5,-4.7,-4.4,-4.2,-4,-3.7,-3.5,-2.1,-0.9,-0.1,0.3,0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.5,2.9,3.8,5.5,6.9,10.6,14.8,19.5,23.6,28.9,32.7,36.5,45.6,60.3,75.5,82.4,98.5,110,136,156,177,198,211,226,244,264,283,296,314,339,352,391
Ip=0.15(mA),-12.5,-11.9,-11.3,-10.7,-10.3,-9.8,-9.4,-9,-7.8,-7.1,-5.7,-4.3,-3.7,-3.3,-1.2,-0.8,-0.1,0.8,1.2,1.6,2.1,2.4,2.7,3.6,4.5,5.3,8.6,11.8,14.9,19.5,24.8,31.8,39.1,47.8,54.7,66.5,72.3,85.7,102,121,148,164,186,206,222,238,257,262,283,305,323,345,362,384,397,410,437,485
Ip=0.2(mA),-14.4,-13.9,-13.4,-13.1,-12.8,-12.4,-11.8,-11.4,-10.4,-9.9,-8.1,-6.4,-4.7,-3.4,-1.6,-0.7,0.6,1.5,2.5,3.2,3.6,4.3,6.6,8.5,10.4,14.5,19.2,26.4,31,36.6,42.7,53.8,68.3,85.8,96.3,117,135,168,209,233,261,292,355,387,424,452,482,501,539,565,584,618,636,651,675,685,706,789
Ip=0.25(mA),-17.1,-16.3,-15.8,-15.2,-14.5,-13.9,-13.5,-13.1,-12.4,-11.3,-9.2,-8.5,-6.4,-3.9,-1.1,-0.5,1.2,2.4,3.1,4.3,5.5,7.8,9.5,11.3,18.6,21.6,26.7,31.8,38.5,43.7,54.4,84.2,94,108,136,155,178,227,288,302,335,399,442,504,542,590,643,673,711,743,777,815,839,863,882,904,943,1065
Ip=0.3(mA),-18.5,-17.8,-17.1,-16.4,-15.5,-15,-14.2,-13.8,-125,-11.7,-10.9,-9.7,-8.3,-4.1,-1,-0.3,1.6,3.8,6.4,8.2,11.5,15.2,21.6,25,33.8,40.3,47.7,53.3,74.1,100,121,141,184,214,262,288,310,385,427,473,513,600,648,694,733,771,843,884,929,956,986,1031,1053,1073,1112,1149,1232,1462
Ip=0.35(mA),-20.6,-19.7,-18.9,-18.1,-17.4,-16.8,-15.6,-14.8,-12.7,-12.1,-11.2,-10.5,-9.2,-3.3,-0.7,0.4,2.8,5.5,9.5,17.2,22.6,27.3,33.8,42.3,51.4,67.1,74.5,101,133,167,197,249,266,303,343,396,442,492,536,641,725,826,906,966,1022,1095,1148,1216,1297,1326,1354,1393,1437,1496,1537,1611,1743,1912
Ip=0.4(mA),-21.6,-20.5,-19.8,-19.1,-18.2,-17.3,-16.4,-15.2,-13.8,-12.6,-10.7,-8.5,-7.3,-1.1,0.4,1.7,5.9,10.4,19.8,29.2,36.7,43.5,52.7,68.3,85.9,103,124,156,196,256,283,303,362,417,483,523,627,755,837,932,1028,1084,1162,1215,1295,1346,1405,1463,1502,1560,1604,1656,1737,1813,1945,2135,2307,2563
